Date,Production_Line,Resource_Type,Availability_Status,Allocation_Decision,Optimization_Action,Bottleneck_Risk,Utilization_Efficiency (%)
04-03-2025,Line C,Equipment,In Use,Assign worker to task,Reorder materials in advance,Low,71
04-03-2025,Line D,Equipment,Available,Trigger replenishment order,Balance workload,Low,74
04-03-2025,Line A,Labor,Available,Reallocate material,Optimize shift timing,High,71
04-04-2025,Line C,Equipment,Maintenance,Schedule machine operation,Reorder materials in advance,High,71
04-04-2025,Line C,Labor,In Use,Trigger replenishment order,Reorder materials in advance,Medium,98
04-04-2025,Line D,Equipment,Shortage,Assign worker to task,Reduce setup time,High,91
04-09-2025,Line A,Material,Shortage,Reallocate material,Reorder materials in advance,Medium,55
04-09-2025,Line A,Material,Maintenance,Trigger replenishment order,Reorder materials in advance,High,64
04-09-2025,Line C,Labor,Maintenance,Trigger replenishment order,Reduce setup time,Medium,92
04-09-2025,Line B,Material,In Use,Reallocate material,Balance workload,Low,86
04-09-2025,Line C,Material,Shortage,Trigger replenishment order,Reorder materials in advance,High,82
04-14-2025,Line C,Equipment,Shortage,Reallocate material,Reduce setup time,High,57
04-14-2025,Line C,Labor,Shortage,Schedule machine operation,Optimize shift timing,High,93
04-14-2025,Line C,Equipment,Available,Reallocate material,Balance workload,High,93
04-14-2025,Line D,Equipment,Shortage,Reallocate material,Optimize shift timing,Medium,54
04-14-2025,Line A,Equipment,Available,Reallocate material,Optimize shift timing,High,88
04-19-2025,Line D,Equipment,In Use,Trigger replenishment order,Reduce setup time,Low,53
04-19-2025,Line D,Equipment,Available,Trigger replenishment order,Reorder materials in advance,Low,55
04-19-2025,Line D,Equipment,In Use,Reallocate material,Reduce setup time,High,94
04-19-2025,Line C,Equipment,Shortage,Trigger replenishment order,Reduce setup time,Low,81
04-19-2025,Line B,Labor,Shortage,Assign worker to task,Reduce setup time,High,79
04-19-2025,Line A,Material,In Use,Assign worker to task,Reduce setup time,High,96
04-19-2025,Line B,Equipment,Maintenance,Trigger replenishment order,Balance workload,Low,84
04-19-2025,Line D,Equipment,In Use,Trigger replenishment order,Reorder materials in advance,High,89
04-27-2025,Line D,Equipment,Maintenance,Reallocate material,Optimize shift timing,Low,65
